data_emissao,mes_alvo,horizonte,previsao_pontual,intervalo_inferior_80,intervalo_superior_80,peso_dfm,tipo,realizado,erro,dentro_intervalo,modelo_dfm,ultima_obs_pim_pf
2024-11-01,2025-01-01,2,0.014394,-0.039089,0.067877,0.4097,validacao_historica,0.018682,0.004288,True,dfm_2026,2024-11-01
2024-12-01,2025-02-01,2,0.008949,-0.044534,0.062432,0.4097,validacao_historica,0.012783,0.003834,True,dfm_2026,2024-12-01
2025-01-01,2025-03-01,2,0.010889,-0.042594,0.064371,0.41,validacao_historica,0.027397,0.016508,True,dfm_2026,2025-01-01
2025-02-01,2025-04-01,2,0.006404,-0.047079,0.059887,0.41,validacao_historica,0.024534,0.01813,True,dfm_2026,2025-02-01
2025-03-01,2025-05-01,2,0.009728,-0.043755,0.06321,0.4099,validacao_historica,0.031809,0.022081,True,dfm_2026,2025-03-01
2025-04-01,2025-06-01,2,0.009342,-0.044141,0.062825,0.4083,validacao_historica,-0.011418,0.02076,True,dfm_2026,2025-04-01
2025-05-01,2025-07-01,2,0.013275,-0.040208,0.066758,0.4096,validacao_historica,0.001932,0.011343,True,dfm_2026,2025-05-01
2025-06-01,2025-08-01,2,-0.002384,-0.055867,0.051099,0.4104,validacao_historica,0.011617,0.014001,True,dfm_2026,2025-06-01
2025-07-01,2025-09-01,2,0.002762,-0.050721,0.056245,0.411,validacao_historica,-0.001918,0.00468,True,dfm_2026,2025-07-01
2025-08-01,2025-10-01,2,0.005202,-0.048281,0.058685,0.411,validacao_historica,-0.000959,0.006161,True,dfm_2026,2025-08-01
2025-09-01,2025-11-01,2,0.000857,-0.052626,0.054339,0.4111,validacao_historica,0.003857,0.003,True,dfm_2026,2025-09-01
2025-10-01,2025-12-01,2,-0.001188,-0.054671,0.052295,0.4112,validacao_historica,-0.016393,0.015205,True,dfm_2026,2025-10-01
2026-05-05,2026-02-01,2,-0.01497,-0.06081,0.030869,0.3179,producao,,,,dfm_2026,2025-12-01
2026-05-05,2026-01-01,1,-0.014586,-0.048003,0.018831,0.1203,producao,,,,dfm_2026,2025-12-01
