chave,metodo
Terminal Marítimo de Ponta da Madeira|Granel Sólido|Embarcados,stl
Santos|Carga Conteinerizada|Desembarcados,stl
Santos|Carga Conteinerizada|Embarcados,stl
Santos|Carga Geral|Desembarcados,stl
Santos|Carga Geral|Embarcados,stl
Santos|Granel Sólido|Desembarcados,stl
Santos|Granel Sólido|Embarcados,stl
Santos|Granel Líquido e Gasoso|Desembarcados,stl
Santos|Granel Líquido e Gasoso|Embarcados,stl
Terminal de Tubarão|Granel Sólido|Desembarcados,stl
Terminal de Tubarão|Granel Sólido|Embarcados,stl
Itaguaí|Carga Conteinerizada|Desembarcados,stl
Itaguaí|Carga Conteinerizada|Embarcados,stl
Itaguaí|Granel Sólido|Desembarcados,stl
Itaguaí|Granel Sólido|Embarcados,stl
Terminal Aquaviário de Angra dos Reis|Granel Líquido e Gasoso|Desembarcados,stl
Terminal Aquaviário de Angra dos Reis|Granel Líquido e Gasoso|Embarcados,stl
Paranaguá|Carga Conteinerizada|Desembarcados,stl
Paranaguá|Carga Conteinerizada|Embarcados,stl
Paranaguá|Carga Geral|Desembarcados,stl
Paranaguá|Carga Geral|Embarcados,stl
Paranaguá|Granel Sólido|Desembarcados,stl
Paranaguá|Granel Sólido|Embarcados,stl
Paranaguá|Granel Líquido e Gasoso|Desembarcados,stl
Terminal da Ilha Guaíba - TIG|Granel Sólido|Embarcados,stl
Rio Grande|Carga Conteinerizada|Desembarcados,stl
Rio Grande|Carga Conteinerizada|Embarcados,stl
Rio Grande|Carga Geral|Embarcados,stl
Rio Grande|Granel Sólido|Desembarcados,stl
Rio Grande|Granel Sólido|Embarcados,stl
Rio Grande|Granel Líquido e Gasoso|Desembarcados,stl
Rio Grande|Granel Líquido e Gasoso|Embarcados,stl
Itaqui|Granel Sólido|Desembarcados,stl
Itaqui|Granel Sólido|Embarcados,stl
Itaqui|Granel Líquido e Gasoso|Desembarcados,stl
