origem,n_obs,dfm_1f_status,dfm_1f_iter,dfm_2f_status,dfm_2f_iter
2018-01-01,37,ok,122,ok,15
2018-02-01,38,ok,55,ok,13
2018-03-01,39,ok,49,ok,12
2018-04-01,40,ok,24,ok,12
2018-05-01,41,ok,119,ok,12
2018-06-01,42,ok,24,ok,12
2018-07-01,43,ok,53,ok,14
2018-08-01,44,ok,97,ok,12
2018-09-01,45,ok,92,ok,17
2018-10-01,46,ok,100,ok,15
2018-11-01,47,ok,24,ok,19
2018-12-01,48,ok,22,ok,16
2019-01-01,49,ok,41,ok,15
2019-02-01,50,ok,16,ok,15
2019-03-01,51,ok,106,ok,15
2019-04-01,52,ok,27,ok,12
2019-05-01,53,ok,55,ok,12
2019-06-01,54,ok,39,ok,12
2019-07-01,55,ok,66,ok,12
2019-08-01,56,ok,38,ok,23
2019-09-01,57,ok,18,ok,25
2019-10-01,58,ok,74,ok,17
2019-11-01,59,ok,42,ok,14
2019-12-01,60,ok,50,ok,10
2020-01-01,61,ok,65,ok,9
2020-02-01,62,ok,16,ok,10
2020-03-01,63,ok,69,ok,8
2020-04-01,64,ok,20,ok,9
2020-05-01,65,ok,37,ok,9
2020-06-01,66,ok,39,ok,10
2020-07-01,67,ok,20,ok,10
2020-08-01,68,ok,17,ok,18
2020-09-01,69,ok,71,ok,19
2020-10-01,70,ok,19,ok,19
2020-11-01,71,ok,19,ok,18
2020-12-01,72,ok,15,ok,11
2021-01-01,73,ok,15,ok,11
2021-02-01,74,ok,16,ok,10
2021-03-01,75,ok,39,ok,11
2021-04-01,76,ok,15,ok,10
2021-05-01,77,ok,14,ok,10
2021-06-01,78,ok,60,ok,13
2021-07-01,79,ok,37,ok,18
2021-08-01,80,ok,31,ok,14
2021-09-01,81,ok,60,ok,15
2021-10-01,82,ok,44,ok,8
2021-11-01,83,ok,40,ok,7
2021-12-01,84,ok,40,ok,11
2022-01-01,85,ok,61,ok,12
2022-02-01,86,ok,13,ok,11
2022-03-01,87,ok,34,ok,9
2022-04-01,88,ok,67,ok,9
2022-05-01,89,ok,28,ok,9
2022-06-01,90,ok,49,ok,9
2022-07-01,91,ok,57,ok,13
2022-08-01,92,ok,31,ok,14
2022-09-01,93,ok,58,ok,13
2022-10-01,94,ok,54,ok,13
2022-11-01,95,ok,30,ok,13
2022-12-01,96,ok,27,ok,12
2023-01-01,97,ok,31,ok,12
2023-02-01,98,ok,29,ok,11
2023-03-01,99,ok,28,ok,11
2023-04-01,100,ok,26,ok,12
2023-05-01,101,ok,18,ok,11
2023-06-01,102,ok,19,ok,10
2023-07-01,103,ok,26,ok,11
2023-08-01,104,ok,26,ok,11
2023-09-01,105,ok,19,ok,10
2023-10-01,106,ok,31,ok,12
2023-11-01,107,ok,18,ok,12
2023-12-01,108,ok,18,ok,12
2024-01-01,109,ok,16,ok,11
2024-02-01,110,ok,25,ok,11
2024-03-01,111,ok,15,ok,11
2024-04-01,112,ok,17,ok,14
2024-05-01,113,ok,15,ok,13
2024-06-01,114,ok,20,ok,10
2024-07-01,115,ok,17,ok,9
2024-08-01,116,ok,19,ok,9
2024-09-01,117,ok,18,ok,9
2024-10-01,118,ok,8,ok,10
2024-11-01,119,ok,24,ok,8
2024-12-01,120,ok,26,ok,10
2025-01-01,121,ok,16,ok,10
2025-02-01,122,ok,19,ok,17
2025-03-01,123,ok,13,ok,16
2025-04-01,124,ok,12,ok,16
2025-05-01,125,ok,13,ok,16
2025-06-01,126,ok,6,ok,17
2025-07-01,127,ok,16,ok,16
2025-08-01,128,ok,6,ok,17
2025-09-01,129,ok,6,ok,18
2025-10-01,130,ok,16,ok,9
